method,edge_noise,attr_noise,run,acc,hit1,hit5,runtime
Node2Vec+NN,0.2,0.2,1,0.029411764705882353,0.029411764705882353,0.20588235294117646,0.27759528160095215
FINAL-style,0.2,0.2,1,0.058823529411764705,0.058823529411764705,0.20588235294117646,
Node2Vec+NN,0.2,0.2,2,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.2944357395172119
FINAL-style,0.2,0.2,2,0.08823529411764706,0.08823529411764706,0.20588235294117646,
Node2Vec+NN,0.2,0.3,0,0.029411764705882353,0.029411764705882353,0.2647058823529412,0.29825544357299805
FINAL-style,0.2,0.3,0,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.2,0.3,1,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.3008081912994385
FINAL-style,0.2,0.3,1,0.029411764705882353,0.029411764705882353,0.20588235294117646,
Node2Vec+NN,0.2,0.3,2,0.14705882352941177,0.14705882352941177,0.47058823529411764,0.3096470832824707
FINAL-style,0.2,0.3,2,0.058823529411764705,0.058823529411764705,0.17647058823529413,
Node2Vec+NN,0.2,0.5,0,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.2927544116973877
FINAL-style,0.2,0.5,0,0.029411764705882353,0.029411764705882353,0.17647058823529413,
Node2Vec+NN,0.2,0.5,1,0.058823529411764705,0.058823529411764705,0.5294117647058824,0.27428746223449707
FINAL-style,0.2,0.5,1,0.058823529411764705,0.058823529411764705,0.14705882352941177,
Node2Vec+NN,0.2,0.5,2,0.029411764705882353,0.029411764705882353,0.23529411764705882,0.2799561023712158
FINAL-style,0.2,0.5,2,0.058823529411764705,0.058823529411764705,0.14705882352941177,
Node2Vec+NN,0.3,0.0,0,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.2788126468658447
FINAL-style,0.3,0.0,0,0.058823529411764705,0.058823529411764705,0.4117647058823529,
Node2Vec+NN,0.3,0.0,1,0.029411764705882353,0.029411764705882353,0.058823529411764705,0.2788538932800293
FINAL-style,0.3,0.0,1,0.058823529411764705,0.058823529411764705,0.4411764705882353,
Node2Vec+NN,0.3,0.0,2,0.029411764705882353,0.029411764705882353,0.17647058823529413,0.292433500289917
FINAL-style,0.3,0.0,2,0.11764705882352941,0.11764705882352941,0.3235294117647059,
Node2Vec+NN,0.3,0.1,0,0.0,0.0,0.08823529411764706,0.28777313232421875
FINAL-style,0.3,0.1,0,0.058823529411764705,0.058823529411764705,0.2647058823529412,
Node2Vec+NN,0.3,0.1,1,0.0,0.0,0.08823529411764706,0.27513885498046875
FINAL-style,0.3,0.1,1,0.11764705882352941,0.11764705882352941,0.35294117647058826,
Node2Vec+NN,0.3,0.1,2,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.29184746742248535
FINAL-style,0.3,0.1,2,0.029411764705882353,0.029411764705882353,0.14705882352941177,
Node2Vec+NN,0.3,0.2,0,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.28533029556274414
FINAL-style,0.3,0.2,0,0.029411764705882353,0.029411764705882353,0.3235294117647059,
Node2Vec+NN,0.3,0.2,1,0.0,0.0,0.3235294117647059,0.27898120880126953
FINAL-style,0.3,0.2,1,0.08823529411764706,0.08823529411764706,0.17647058823529413,
Node2Vec+NN,0.3,0.2,2,0.0,0.0,0.11764705882352941,0.281665563583374
FINAL-style,0.3,0.2,2,0.058823529411764705,0.058823529411764705,0.29411764705882354,
Node2Vec+NN,0.3,0.3,0,0.08823529411764706,0.08823529411764706,0.4117647058823529,0.2813842296600342
FINAL-style,0.3,0.3,0,0.029411764705882353,0.029411764705882353,0.2647058823529412,
Node2Vec+NN,0.3,0.3,1,0.11764705882352941,0.11764705882352941,0.4411764705882353,0.2721998691558838
FINAL-style,0.3,0.3,1,0.058823529411764705,0.058823529411764705,0.2647058823529412,
Node2Vec+NN,0.3,0.3,2,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.27339863777160645
FINAL-style,0.3,0.3,2,0.08823529411764706,0.08823529411764706,0.20588235294117646,
Node2Vec+NN,0.3,0.5,0,0.029411764705882353,0.029411764705882353,0.14705882352941177,0.2816610336303711
